ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID
10357,32,100,10,5691.8,2004/12/10,Shipped   ,4,12
10369,41,100,2,4514.9,2005/01/20,Shipped   ,1,1
10381,36,100,3,8254.8,2005/02/17,Shipped   ,1,2
10391,24,100,4,2416.6,2005/03/09,Shipped   ,1,3
10411,23,100,9,4140.2,2005/05/01,Shipped   ,2,5
10424,50,100,6,12001,2005/05/31,In Process,2,5
10107,39,99.9,5,3896.5,2003/02/24,Shipped   ,1,2
10120,29,96.3,3,2793.9,2003/04/29,Shipped   ,2,4
10134,27,100,5,3307.8,2003/07/01,Shipped   ,3,7
10145,37,100,9,5192.9,2003/08/25,Shipped   ,3,8
10159,37,100,17,5016.8,2003/10/10,Shipped   ,4,10
10168,27,100,4,3660.9,2003/10/28,Shipped   ,4,10
10180,42,100,12,4695.6,2003/11/11,Shipped   ,4,11
10188,38,96.3,4,3660.9,2003/11/18,Shipped   ,4,11
10201,24,100,5,3025.9,2003/12/01,Shipped   ,4,12
10210,23,100,2,3009.1,2004/01/12,Shipped   ,1,1
10223,47,100,4,5422.4,2004/02/20,Shipped   ,1,2
10236,22,100,1,2852.1,2004/04/03,Shipped   ,2,4
10251,44,100,5,5756.5,2004/05/18,Shipped   ,2,5
10263,40,100,5,4472,2004/06/28,Shipped   ,2,6
10275,22,100,4,2904.4,2004/07/23,Shipped   ,3,7
10285,47,100,9,6484.6,2004/08/27,Shipped   ,3,8
10298,39,96.3,1,3757.3,2004/09/27,Shipped   ,3,9
10308,34,100,2,4044,2004/10/15,Shipped   ,4,10
10318,45,100,4,5566.5,2004/11/02,Shipped   ,4,11
10329,20,100,2,3176,2004/11/15,Shipped   ,4,11
10339,40,68.9,4,2756.8,2004/11/23,Shipped   ,4,11
10361,26,51.1,8,1329.9,2004/12/17,Shipped   ,4,12
10374,39,100,5,5288,2005/02/02,Shipped   ,1,2
10388,50,44.5,5,2225.5,2005/03/03,Shipped   ,1,3
10402,45,100,1,5833.8,2005/04/07,Shipped   ,2,4
10417,45,100,5,5887.4,2005/05/13,Disputed  ,2,5
10107,27,100,4,6065.6,2003/02/24,Shipped   ,1,2
10120,46,100,2,9264.9,2003/04/29,Shipped   ,2,4
10134,31,100,4,7024,2003/07/01,Shipped   ,3,7
10145,33,100,8,5176.4,2003/08/25,Shipped   ,3,8
10159,22,100,16,4132.7,2003/10/10,Shipped   ,4,10
10168,20,100,3,4183,2003/10/28,Shipped   ,4,10
10180,41,100,11,8892.9,2003/11/11,Shipped   ,4,11
10188,45,100,3,8714.7,2003/11/18,Shipped   ,4,11
10201,49,100,4,8065.9,2003/12/01,Shipped   ,4,12
10210,34,100,1,6123.4,2004/01/12,Shipped   ,1,1
10223,49,100,3,9774,2004/02/20,Shipped   ,1,2
10237,39,100,9,7023.9,2004/04/05,Shipped   ,2,4
10251,43,100,4,7078.2,2004/05/18,Shipped   ,2,5
10263,41,100,4,8336.9,2004/06/28,Shipped   ,2,6
10275,36,100,3,6901.9,2004/07/23,Shipped   ,3,7
10285,27,100,8,5438.1,2004/08/27,Shipped   ,3,8
10299,29,100,11,6683.3,2004/09/30,Shipped   ,3,9
10308,20,100,1,4570.4,2004/10/15,Shipped   ,4,10
10318,37,100,3,7667.1,2004/11/02,Shipped   ,4,11
10329,26,100,3,5868.2,2004/11/15,Shipped   ,4,11
10339,39,76.7,3,2990.1,2004/11/23,Shipped   ,4,11
10362,22,100,4,3664.1,2005/01/05,Shipped   ,1,1
10374,22,100,1,3834.4,2005/02/02,Shipped   ,1,2
10388,21,86.8,7,1822.2,2005/03/03,Shipped   ,1,3
10403,66,100,9,11886.6,2005/04/08,Shipped   ,2,4
10417,56,100,4,9218.2,2005/05/13,Disputed  ,2,5
10105,50,100,2,7208,2003/02/11,Shipped   ,1,2
10119,46,100,11,5004.8,2003/04/28,Shipped   ,2,4
10129,33,100,2,4398.2,2003/06/12,Shipped   ,2,6
10143,49,100,15,5597.8,2003/08/10,Shipped   ,3,8
10155,32,100,13,4526.1,2003/10/06,Shipped   ,4,10
10167,44,100,9,5924.2,2003/10/23,Cancelled ,4,10
10178,24,100,12,3492.5,2003/11/08,Shipped   ,4,11
10186,26,100,9,3854.2,2003/11/14,Shipped   ,4,11
10197,45,100,6,5324.4,2003/11/26,Shipped   ,4,11
10209,39,100,8,5197.9,2004/01/09,Shipped   ,1,1
10222,49,100,12,5997.6,2004/02/19,Shipped   ,1,2
10248,20,100,3,2910.4,2004/05/07,Cancelled ,2,5
10261,27,100,1,3378.2,2004/06/17,Shipped   ,2,6
10273,30,100,4,3508.8,2004/07/21,Shipped   ,3,7
10283,25,100,6,2992,2004/08/20,Shipped   ,3,8
10295,24,100,1,3427.2,2004/09/10,Shipped   ,3,9
10307,22,100,9,2692.8,2004/10/14,Shipped   ,4,10
10316,33,100,17,4129,2004/11/01,Shipped   ,4,11
10325,47,64.9,6,3051.7,2004/11/05,Shipped   ,4,11
10337,25,48,8,1201.2,2004/11/21,Shipped   ,4,11
10350,26,75.5,5,1962.2,2004/12/02,Shipped   ,4,12
10359,48,54.7,6,2624.6,2004/12/15,Shipped   ,4,12
10373,39,100,3,4046.2,2005/01/31,Shipped   ,1,1
10384,34,100,4,4846.7,2005/02/23,Shipped   ,1,2
10395,32,100,2,3370.6,2005/03/17,Shipped   ,1,3
10400,64,100,9,9661.4,2005/04/01,Shipped   ,2,4
10414,19,100,3,2764.9,2005/05/06,On Hold   ,2,5
10103,42,100,4,5398.3,2003/01/29,Shipped   ,1,1
10114,31,100,8,4305.3,2003/04/01,Shipped   ,2,4
10126,22,100,4,3347.7,2003/05/28,Shipped   ,2,5
10140,26,100,4,3188.1,2003/07/24,Shipped   ,3,7
10150,20,100,1,3191.2,2003/09/19,Shipped   ,3,9
10164,21,100,2,3536.8,2003/10/21,Resolved  ,4,10
10175,33,100,9,5362.8,2003/11/06,Shipped   ,4,11
10183,28,100,1,3433.4,2003/11/13,Shipped   ,4,11
10194,26,100,4,4263.7,2003/11/25,Shipped   ,4,11
10207,31,100,15,4076.2,2003/12/09,Shipped   ,4,12
10217,48,100,4,7020.5,2004/02/04,Shipped   ,1,2
10229,50,100,9,6426.5,2004/03/11,Shipped   ,1,3
10245,28,100,2,4591.7,2004/05/04,Shipped   ,2,5
10259,26,100,12,4033.4,2004/06/15,Shipped   ,2,6
10270,32,100,2,4302.1,2004/07/19,Shipped   ,3,7
10281,44,100,9,7020.6,2004/08/19,Shipped   ,3,8
10291,30,100,4,3855.9,2004/09/08,Shipped   ,3,9
10305,38,100,13,6680.8,2004/10/13,Shipped   ,4,10
10313,40,100,7,6678,2004/10/22,Shipped   ,4,10
10322,46,62,8,2851.5,2004/11/04,Shipped   ,4,11
10334,26,100,2,3188.1,2004/11/19,On Hold   ,4,11
10347,27,100,2,4428,2004/11/29,Shipped   ,4,11
10357,43,100,9,5780.9,2004/12/10,Shipped   ,4,12
10370,35,65.6,4,2297.1,2005/01/20,Shipped   ,1,1
10381,37,100,6,6231.5,2005/02/17,Shipped   ,1,2
10391,37,46.9,7,1735.3,2005/03/09,Shipped   ,1,3
10411,27,100,2,4427.7,2005/05/01,Shipped   ,2,5
10425,38,100,12,5894.9,2005/05/31,In Process,2,5
10108,33,100,6,5265.1,2003/03/03,Shipped   ,1,3
10122,42,100,10,7599.9,2003/05/08,Shipped   ,2,5
10135,42,100,7,8008.6,2003/07/02,Shipped   ,3,7
10147,48,100,7,9245.8,2003/09/05,Shipped   ,3,9
10159,41,100,2,8296.4,2003/10/10,Shipped   ,4,10
10169,30,100,2,5019.9,2003/11/04,Shipped   ,4,11
10181,27,100,14,5411.1,2003/11/12,Shipped   ,4,11
10191,21,100,3,3840.9,2003/11/20,Shipped   ,4,11
10203,20,100,8,3930.4,2003/12/02,Shipped   ,4,12
10211,41,100,2,7498.9,2004/01/15,Shipped   ,1,1
10225,27,100,9,4517.9,2004/02/22,Shipped   ,1,2
10238,28,100,3,5774.7,2004/04/09,Shipped   ,2,4
10253,24,100,13,3922.6,2004/06/01,Cancelled ,2,6
10266,44,100,14,9160.4,2004/07/06,Shipped   ,3,7
10276,50,100,3,9631,2004/08/02,Shipped   ,3,8
10287,21,100,12,3432.2,2004/08/30,Shipped   ,3,8
10300,33,100,5,5521.9,2003/10/04,Shipped   ,4,10
10310,33,100,10,6934.6,2004/10/16,Shipped   ,4,10
10320,31,100,3,6876.1,2004/11/03,Shipped   ,4,11
10329,41,71.5,5,2930.3,2004/11/15,Shipped   ,4,11
10341,45,79.7,2,3584.2,2004/11/24,Shipped   ,4,11
10363,33,85.4,3,2817.9,2005/01/06,Shipped   ,1,1
10375,45,76,7,3420,2005/02/03,Shipped   ,1,2
10389,26,99,4,2575,2005/03/03,Shipped   ,1,3
10419,12,100,13,1961.3,2005/05/17,Shipped   ,2,5
10105,41,100,15,8690.4,2003/02/11,Shipped   ,1,2
10117,33,100,9,6034.4,2003/04/16,Shipped   ,2,4
10127,46,100,2,11279.2,2003/06/03,Shipped   ,2,6
10142,33,100,12,8023.3,2003/08/08,Shipped   ,3,8
10153,20,100,11,4904,2003/09/28,Shipped   ,3,9
10165,44,100,3,8594.5,2003/10/22,Shipped   ,4,10
10176,33,100,2,7474.5,2003/11/06,Shipped   ,4,11
10185,21,100,13,3883.7,2003/11/14,Shipped   ,4,11
10196,47,100,5,8887.7,2003/11/26,Shipped   ,4,11
10208,46,100,13,8602.9,2004/01/02,Shipped   ,1,1
10220,32,100,2,7181.4,2004/02/12,Shipped   ,1,2
10231,42,100,2,8378.6,2004/03/19,Shipped   ,1,3
10247,44,100,2,10606.2,2004/05/05,Shipped   ,2,5
10272,35,100,2,5818.4,2004/07/20,Shipped   ,3,7
10282,41,100,5,7071.3,2004/08/20,Shipped   ,3,8
10293,46,100,8,8411.6,2004/09/09,Shipped   ,3,9
10306,31,100,13,6570.8,2004/10/14,Shipped   ,4,10
10314,38,100,5,7975.4,2004/10/22,Shipped   ,4,10
10325,42,64,8,2688,2004/11/05,Shipped   ,4,11
10336,33,57.2,10,1888.3,2004/11/20,Shipped   ,4,11
10348,48,52.4,8,2513.3,2004/11/01,Shipped   ,4,11
10359,42,100,8,4764.5,2004/12/15,Shipped   ,4,12
10371,32,100,6,3560.6,2005/01/23,Shipped   ,1,1
10382,34,100,10,3823.6,2005/02/17,Shipped   ,1,2
10395,33,69.1,1,2281,2005/03/17,Shipped   ,1,3
10413,36,100,2,8677.8,2005/05/05,Shipped   ,2,5
10103,27,100,8,3395,2003/01/29,Shipped   ,1,1
10113,21,100,2,3415.4,2003/03/26,Shipped   ,1,3
10126,21,100,8,2439.6,2003/05/28,Shipped   ,2,5
10140,38,100,8,4829.8,2003/07/24,Shipped   ,3,7
10150,30,100,5,4100.1,2003/09/19,Shipped   ,3,9
10164,49,100,6,6563.1,2003/10/21,Resolved  ,4,10
10174,43,100,1,6817.2,2003/11/06,Shipped   ,4,11
10183,41,100,5,6163.9,2003/11/13,Shipped   ,4,11
10194,38,100,8,4933.9,2003/11/25,Shipped   ,4,11
10206,28,100,3,4056.4,2003/12/05,Shipped   ,4,12
10216,43,100,1,5759.4,2004/02/02,Shipped   ,1,2
10229,25,100,13,3451,2004/03/11,Shipped   ,1,3
10245,38,100,6,5920.4,2004/05/04,Shipped   ,2,5
10258,41,100,3,6668.2,2004/06/15,Shipped   ,2,6
10270,28,100,6,4094.7,2004/07/19,Shipped   ,3,7
10281,25,100,13,2938.5,2004/08/19,Shipped   ,3,8
10291,41,100,8,6387.8,2004/09/08,Shipped   ,3,9
10304,39,100,3,6396,2004/10/11,Shipped   ,4,10
10313,21,100,11,2669.1,2004/10/22,Shipped   ,4,10
10322,27,100,9,4784.1,2004/11/04,Shipped   ,4,11
10333,33,99.2,6,3273.9,2004/11/18,Shipped   ,4,11
10347,29,100,3,3586.4,2004/11/29,Shipped   ,4,11
10357,49,100,8,5960.4,2004/12/10,Shipped   ,4,12
10370,49,100,8,8470.1,2005/01/20,Shipped   ,1,1
10381,20,100,1,2952,2005/02/17,Shipped   ,1,2
10391,39,63.2,9,2464.8,2005/03/09,Shipped   ,1,3
10411,40,100,6,6232,2005/05/01,Shipped   ,2,5
10424,49,100,3,7969.4,2005/05/31,In Process,2,5
10107,21,100,1,3036.6,2003/02/24,Shipped   ,1,2
10121,50,100,4,8284,2003/05/07,Shipped   ,2,5
10134,20,100,1,2711.2,2003/07/01,Shipped   ,3,7
10145,49,100,5,8339.8,2003/08/25,Shipped   ,3,8
10159,38,100,13,6238.8,2003/10/10,Shipped   ,4,10
10169,35,100,13,4639.2,2003/11/04,Shipped   ,4,11
10180,40,100,8,6747.6,2003/11/11,Shipped   ,4,11
10189,28,100,1,4512.5,2003/11/18,Shipped   ,4,11
10201,25,100,1,4029,2003/12/01,Shipped   ,4,12
10211,36,100,13,4771.8,2004/01/15,Shipped   ,1,1
10224,43,100,6,6087.9,2004/02/21,Shipped   ,1,2
10237,32,100,6,4193.3,2004/04/05,Shipped   ,2,4
10251,46,100,1,7552.3,2004/05/18,Shipped   ,2,5
10263,48,100,1,6434.4,2004/06/28,Shipped   ,2,6
10276,43,100,14,5181.5,2004/08/02,Shipped   ,3,8
10285,49,100,5,6863.9,2004/08/27,Shipped   ,3,8
10299,24,100,8,4157,2004/09/30,Shipped   ,3,9
10309,26,100,4,4660.2,2004/10/15,Shipped   ,4,10
10319,30,100,9,4111.8,2004/11/03,Shipped   ,4,11
10329,24,100,6,3542.6,2004/11/15,Shipped   ,4,11
10341,55,100,8,8118.6,2004/11/24,Shipped   ,4,11
10362,22,100,1,3877.1,2005/01/05,Shipped   ,1,1
10375,49,78.9,13,3867.1,2005/02/03,Shipped   ,1,2
10388,44,100,6,5951.4,2005/03/03,Shipped   ,1,3
10403,66,100,6,8648.6,2005/04/08,Shipped   ,2,4
10417,21,100,1,3447.8,2005/05/13,Disputed  ,2,5
10104,34,100,1,5958.5,2003/01/31,Shipped   ,1,1
10117,43,100,10,5911.6,2003/04/16,Shipped   ,2,4
10127,46,100,3,7366.4,2003/06/03,Shipped   ,2,6
10142,33,100,13,4985.6,2003/08/08,Shipped   ,3,8
10153,42,100,12,5393.6,2003/09/28,Shipped   ,3,9
10165,34,100,4,4880,2003/10/22,Shipped   ,4,10
10176,47,100,3,8378.7,2003/11/06,Shipped   ,4,11
10185,33,100,14,4038.2,2003/11/14,Shipped   ,4,11
10196,24,100,6,3807.1,2003/11/26,Shipped   ,4,11
10208,26,100,14,3142.4,2004/01/02,Shipped   ,1,1
10220,30,100,3,4713.6,2004/02/12,Shipped   ,1,2
10230,43,100,1,7016.3,2004/03/15,Shipped   ,1,3
10247,25,100,3,4381.2,2004/05/05,Shipped   ,2,5
10272,27,100,3,4283,2004/07/20,Shipped   ,3,7
10282,27,100,6,4364.8,2004/08/20,Shipped   ,3,8
10293,24,100,9,4242.2,2004/09/09,Shipped   ,3,9
10306,34,100,14,4982.7,2004/10/14,Shipped   ,4,10
10314,46,100,6,6393.5,2004/10/22,Shipped   ,4,10
10324,27,54.3,1,1466.9,2004/11/05,Shipped   ,4,11
10336,33,100,11,4059.3,2004/11/20,Shipped   ,4,11
10348,47,100,4,4801.5,2004/11/01,Shipped   ,4,11
10358,49,55.3,5,2711.7,2004/12/10,Shipped   ,4,12
10372,40,100,4,5862,2005/01/26,Shipped   ,1,1
10382,37,100,11,4071.8,2005/02/17,Shipped   ,1,2
10413,47,100,3,8236.8,2005/05/05,Shipped   ,2,5
10108,45,100,4,6130.4,2003/03/03,Shipped   ,1,3
10122,37,99.8,8,3693.3,2003/05/08,Shipped   ,2,5
10135,48,100,5,6031.7,2003/07/02,Shipped   ,3,7
10147,31,100,5,3494.9,2003/09/05,Shipped   ,3,9
10160,46,100,6,5294.1,2003/10/11,Shipped   ,4,10
10170,47,100,4,5464.7,2003/11/04,Shipped   ,4,11
10181,28,100,12,2860.8,2003/11/12,Shipped   ,4,11
10191,40,100,1,5590,2003/11/20,Shipped   ,4,11
10203,20,100,6,2254.8,2003/12/02,Shipped   ,4,12
10212,39,100,16,4946.8,2004/01/16,Shipped   ,1,1
10225,25,99.8,7,2495.5,2004/02/22,Shipped   ,1,2
10238,29,100,1,3167.4,2004/04/09,Shipped   ,2,4
10253,22,100,11,2402.8,2004/06/01,Cancelled ,2,6
10266,22,100,12,2454.5,2004/07/06,Shipped   ,3,7
10276,47,100,1,5464.7,2004/08/02,Shipped   ,3,8
10287,45,100,10,4756.5,2004/08/30,Shipped   ,3,8
10300,29,100,3,3984.6,2003/10/04,Shipped   ,4,10
10310,24,100,8,3100.3,2004/10/16,Shipped   ,4,10
10320,35,100,1,4850.3,2004/11/03,Shipped   ,4,11
10329,46,83.6,13,3847,2004/11/15,Shipped   ,4,11
10341,44,95.9,1,4220.9,2004/11/24,Shipped   ,4,11
10363,34,96.7,4,3288.8,2005/01/06,Shipped   ,1,1
10376,35,100,1,3987.2,2005/02/08,Shipped   ,1,2
10389,25,72.4,6,1809.5,2005/03/03,Shipped   ,1,3
10419,10,100,11,1092.2,2005/05/17,Shipped   ,2,5
10105,29,100,14,4566.1,2003/02/11,Shipped   ,1,2
10117,39,100,8,5938.1,2003/04/16,Shipped   ,2,4
10127,42,100,1,8138.8,2003/06/03,Shipped   ,2,6
10142,46,100,11,9470.9,2003/08/08,Shipped   ,3,8
10153,49,100,10,7036.9,2003/09/28,Shipped   ,3,9
10165,27,100,2,5559,2003/10/22,Shipped   ,4,10
10176,50,100,1,7872.5,2003/11/06,Shipped   ,4,11
10185,43,100,12,7886.2,2003/11/14,Shipped   ,4,11
10196,38,100,4,7232.2,2003/11/26,Shipped   ,4,11
10208,20,100,12,3114.4,2004/01/02,Shipped   ,1,1
10220,27,100,1,5045.2,2004/02/12,Shipped   ,1,2
10231,49,100,1,6952.1,2004/03/19,Shipped   ,1,3
10247,27,100,1,4157.7,2004/05/05,Shipped   ,2,5
10272,39,100,1,7962.2,2004/07/20,Shipped   ,3,7
10282,24,100,4,3778.8,2004/08/20,Shipped   ,3,8
10293,45,100,7,8253,2004/09/09,Shipped   ,3,9
10306,20,100,12,3633.4,2004/10/14,Shipped   ,4,10
10314,36,100,4,6913.8,2004/10/22,Shipped   ,4,10
10325,24,100,1,2583.6,2004/11/05,Shipped   ,4,11
10336,49,63.4,1,3105.6,2004/11/20,Shipped   ,4,11
10349,26,100,10,4408.6,2004/12/01,Shipped   ,4,12
10359,49,62.1,5,3042.4,2004/12/15,Shipped   ,4,12
10372,34,100,1,5941.5,2005/01/26,Shipped   ,1,1
10382,34,95.3,12,3241.9,2005/02/17,Shipped   ,1,2
10396,33,100,3,6109.3,2005/03/23,Shipped   ,1,3
10413,22,100,1,3387.8,2005/05/05,Shipped   ,2,5
10108,39,89.4,7,3485.8,2003/03/03,Shipped   ,1,3
10122,32,63.8,11,2042.9,2003/05/08,Shipped   ,2,5
10135,24,75,8,1800.2,2003/07/02,Shipped   ,3,7
10147,21,63.8,8,1340.6,2003/09/05,Shipped   ,3,9
10159,24,73.4,3,1762.1,2003/10/10,Shipped   ,4,10
10169,36,63.8,3,2298.2,2003/11/04,Shipped   ,4,11
10181,20,81.4,15,1628,2003/11/12,Shipped   ,4,11
10191,30,64.6,4,1939.2,2003/11/20,Shipped   ,4,11
10203,44,83,9,3651.6,2003/12/02,Shipped   ,4,12
10211,28,92.6,3,2592,2004/01/15,Shipped   ,1,1
10225,37,77.4,10,2864.2,2004/02/22,Shipped   ,1,2
10238,20,74.2,4,1484.2,2004/04/09,Shipped   ,2,4
10253,25,90.2,14,2254.2,2004/06/01,Cancelled ,2,6
10266,35,76.6,15,2681.3,2004/07/06,Shipped   ,3,7
10276,38,83.8,4,3184,2004/08/02,Shipped   ,3,8
10287,41,69.4,13,2846.6,2004/08/30,Shipped   ,3,8
10300,22,76.6,6,1685.4,2003/10/04,Shipped   ,4,10
10310,49,81.4,11,3988.6,2004/10/16,Shipped   ,4,10
10320,38,73.4,4,2790,2004/11/03,Shipped   ,4,11
10329,33,100,14,3607.6,2004/11/15,Shipped   ,4,11
10341,36,93.6,10,3368.2,2004/11/24,Shipped   ,4,11
10363,34,81.6,5,2775.1,2005/01/06,Shipped   ,1,1
10377,24,67.8,5,1627.9,2005/02/09,Shipped   ,1,2
10389,36,70.3,7,2529.4,2005/03/03,Shipped   ,1,3
10419,34,90.2,14,3065.8,2005/05/17,Shipped   ,2,5
10104,41,100,9,4615.8,2003/01/31,Shipped   ,1,1
10115,46,100,5,5723.8,2003/04/04,Shipped   ,2,4
10127,24,100,11,2559.6,2003/06/03,Shipped   ,2,6
10141,21,100,5,2140.1,2003/08/01,Shipped   ,3,8
10151,24,100,3,3327.6,2003/09/21,Shipped   ,3,9
10165,48,100,12,6825.6,2003/10/22,Shipped   ,4,10
10175,26,100,1,3543.3,2003/11/06,Shipped   ,4,11
10184,37,100,6,4516.2,2003/11/14,Shipped   ,4,11
10195,49,100,6,6445.5,2003/11/25,Shipped   ,4,11
10207,34,99.5,7,3384.4,2003/12/09,Shipped   ,4,12
10219,48,100,2,4891.7,2004/02/10,Shipped   ,1,2
10229,36,100,1,4522,2004/03/11,Shipped   ,1,3
10246,46,100,5,5069.7,2004/05/05,Shipped   ,2,5
10259,46,100,4,6541.2,2004/06/15,Shipped   ,2,6
10271,31,97.2,5,3012.3,2004/07/20,Shipped   ,3,7
10281,41,100,1,5247.2,2004/08/19,Shipped   ,3,8
10292,21,100,8,2214.9,2004/09/08,Shipped   ,3,9
10305,38,100,5,4773.2,2004/10/13,Shipped   ,4,10
10314,45,100,14,6185.7,2004/10/22,Shipped   ,4,10
10324,26,58.4,7,1517.9,2004/11/05,Shipped   ,4,11
10336,38,100,3,6372.6,2004/11/20,Shipped   ,4,11
10349,48,100,9,5233,2004/12/01,Shipped   ,4,12
10358,42,64.2,9,2694.7,2004/12/10,Shipped   ,4,12
10371,49,35.7,4,1749.8,2005/01/23,Shipped   ,1,1
10382,32,66.6,13,2130.6,2005/02/17,Shipped   ,1,2
10412,54,100,5,5951.3,2005/05/03,Shipped   ,2,5
10425,33,100,4,4692.6,2005/05/31,In Process,2,5
10108,36,100,3,3731,2003/03/03,Shipped   ,1,3
10122,20,100,7,2142,2003/05/08,Shipped   ,2,5
10135,29,97.9,4,2838.8,2003/07/02,Shipped   ,3,7
10147,33,97.9,4,3230.4,2003/09/05,Shipped   ,3,9
10160,50,100,5,5182,2003/10/11,Shipped   ,4,10
10170,41,100,3,4391.1,2003/11/04,Shipped   ,4,11
10181,36,100,11,4477.3,2003/11/12,Shipped   ,4,11
10192,27,100,16,3544.6,2003/11/20,Shipped   ,4,11
10203,47,100,5,5195.9,2003/12/02,Shipped   ,4,12
10212,33,100,15,4180.4,2004/01/16,Shipped   ,1,1
10225,21,100,6,2684.4,2004/02/22,Shipped   ,1,2
10239,21,93.3,5,1958.9,2004/04/12,Shipped   ,2,4
10253,41,100,10,4910.6,2004/06/01,Cancelled ,2,6
10266,40,100,11,4468.4,2004/07/06,Shipped   ,3,7
10277,28,100,1,3127.9,2004/08/04,Shipped   ,3,8
10287,23,100,9,2675.1,2004/08/30,Shipped   ,3,8
10300,23,100,2,2807.6,2003/10/04,Shipped   ,4,10
10310,25,100,7,2504.8,2004/10/16,Shipped   ,4,10
10321,24,100,15,2984.9,2004/11/04,Shipped   ,4,11
10329,39,64.7,15,2524.9,2004/11/15,Shipped   ,4,11
10341,55,75.2,7,4136,2004/11/24,Shipped   ,4,11
10363,46,88.5,6,4068.7,2005/01/06,Shipped   ,1,1
10377,50,100,1,5182,2005/02/09,Shipped   ,1,2
10389,47,100,8,5243.8,2005/03/03,Shipped   ,1,3
10405,97,93.3,5,9048.2,2005/04/14,Shipped   ,2,4
10419,32,100,10,3832.6,2005/05/17,Shipped   ,2,5
10103,35,100,10,3920,2003/01/29,Shipped   ,1,1
10113,49,100,4,4916.7,2003/03/26,Shipped   ,1,3
10126,38,100,10,3857,2003/05/28,Shipped   ,2,5
10140,32,100,10,4181.4,2003/07/24,Shipped   ,3,7
10150,34,100,7,4641,2003/09/19,Shipped   ,3,9
10164,36,99.2,8,3570.1,2003/10/21,Resolved  ,4,10
10174,48,93.3,3,4480.3,2003/11/06,Shipped   ,4,11
10183,21,96.8,7,2033.6,2003/11/13,Shipped   ,4,11
10194,21,93.3,10,1960.1,2003/11/25,Shipped   ,4,11
10206,34,100,5,3966.8,2003/12/05,Shipped   ,4,12
10215,46,100,2,5152,2004/01/29,Shipped   ,1,1
