transaction_id,account_id,merchant_id,amount,currency,transaction_date,status
TXN-2024-042,ACC-1002,MER-5017,1500.00,USD,2024-01-24 13:25:10,DECLINED
TXN-2024-043,ACC-1002,MER-5014,950.00,USD,2024-01-24 13:35:22,DECLINED
TXN-2024-044,ACC-1002,MER-5002,1200.00,USD,2024-01-24 13:45:50,DECLINED
TXN-2024-045,ACC-1002,MER-5017,880.00,USD,2024-01-24 13:55:15,DECLINED
TXN-2024-046,ACC-1002,MER-5002,1650.00,USD,2024-01-24 14:05:30,DECLINED
TXN-2024-047,ACC-1002,MER-5014,2100.00,USD,2024-01-24 14:15:42,DECLINED
TXN-2024-048,ACC-1008,MER-5003,28.90,USD,2024-01-24 14:30:15,APPROVED
TXN-2024-049,ACC-1009,MER-5001,156.75,USD,2024-01-24 15:10:25,APPROVED
TXN-2024-050,ACC-1010,MER-5016,42.00,USD,2024-01-24 16:20:40,APPROVED
TXN-2024-051,ACC-1004,MER-5004,95.50,USD,2024-01-24 17:05:15,APPROVED
TXN-2024-052,ACC-1007,MER-5008,22.80,USD,2024-01-24 18:12:30,APPROVED
TXN-2024-053,ACC-1011,MER-5005,340.00,USD,2024-01-24 19:08:45,APPROVED
TXN-2024-054,ACC-1001,MER-5003,52.30,USD,2024-01-25 09:05:20,APPROVED
TXN-2024-055,ACC-1003,MER-5001,78.90,USD,2024-01-25 10:20:15,APPROVED
TXN-2024-056,ACC-1005,MER-5005,1800.00,USD,2024-01-25 11:15:30,APPROVED
TXN-2024-057,ACC-1006,MER-5006,105.50,USD,2024-01-25 12:30:45,APPROVED
TXN-2024-058,ACC-1008,MER-5001,34.75,USD,2024-01-25 14:10:20,APPROVED
TXN-2024-059,ACC-1009,MER-5016,67.20,USD,2024-01-25 15:25:10,APPROVED
TXN-2024-060,ACC-1010,MER-5003,29.99,USD,2024-01-25 16:40:35,APPROVED
TXN-2024-061,ACC-1012,MER-5015,420.00,USD,2024-01-25 17:15:50,APPROVED
TXN-2024-062,ACC-1013,MER-5001,88.40,USD,2024-01-25 18:05:25,APPROVED
TXN-2024-063,ACC-1004,MER-5009,650.00,USD,2024-01-25 19:20:15,APPROVED
